scenario,protocol,n_agents,run,denm_pdr,denm_ddl,bsm_pdr,emerg_p99,latency_p99,mean_cbr
urban,QDAP-noGhost,25,15,0.62167,0.61833,0.68062,32.837,26.132,0.1120
urban,QDAP-noGhost,25,16,0.84444,0.84286,0.64092,18.380,25.296,0.1173
urban,QDAP-noGhost,25,17,0.79545,0.79545,0.65737,37.013,24.805,0.1227
urban,QDAP-noGhost,25,18,0.82754,0.82464,0.64062,28.494,24.718,0.1280
urban,QDAP-noGhost,25,19,0.60145,0.60145,0.59770,27.927,26.158,0.1280
urban,QDAP,50,0,0.77778,0.77778,0.58565,3.227,10.011,0.2293
urban,QDAP,50,1,0.69015,0.69015,0.66115,2.650,10.328,0.2400
urban,QDAP,50,2,0.66970,0.66970,0.64853,3.207,10.111,0.2400
urban,QDAP,50,3,0.44472,0.44472,0.55924,2.526,10.097,0.2240
urban,QDAP,50,4,0.83262,0.83262,0.63211,2.853,10.123,0.2560
urban,QDAP,50,5,0.63659,0.63659,0.62321,2.757,9.985,0.2240
urban,QDAP,50,6,0.75185,0.75185,0.63487,2.853,10.048,0.2453
urban,QDAP,50,7,0.79275,0.79275,0.60956,2.986,10.427,0.2507
urban,QDAP,50,8,0.88623,0.88623,0.69295,2.830,10.251,0.2507
urban,QDAP,50,9,0.84419,0.84419,0.58538,2.930,9.627,0.2347
urban,QDAP,50,10,0.63256,0.63256,0.61098,2.818,10.123,0.2347
urban,QDAP,50,11,0.88182,0.88182,0.65007,2.936,10.171,0.2400
urban,QDAP,50,12,0.63259,0.63259,0.65465,2.923,10.220,0.2453
urban,QDAP,50,13,0.75455,0.75455,0.66478,2.808,10.158,0.2400
urban,QDAP,50,14,0.87943,0.87943,0.65491,2.947,10.394,0.2560
urban,QDAP,50,15,0.84961,0.84961,0.63122,2.847,10.025,0.2347
urban,QDAP,50,16,0.62826,0.62826,0.61585,2.673,10.078,0.2507
urban,QDAP,50,17,0.78527,0.78527,0.57588,2.779,9.492,0.2347
urban,QDAP,50,18,0.81136,0.81136,0.60992,2.878,10.017,0.2400
urban,QDAP,50,19,0.71087,0.71087,0.57792,2.966,9.938,0.2507
urban,QDAP-noFEC,50,0,0.71349,0.71349,0.56638,3.389,10.009,0.2293
urban,QDAP-noFEC,50,1,0.61667,0.61667,0.63983,2.835,10.307,0.2400
urban,QDAP-noFEC,50,2,0.61439,0.61439,0.62898,2.853,10.166,0.2400
urban,QDAP-noFEC,50,3,0.36748,0.36748,0.53625,2.650,10.163,0.2240
urban,QDAP-noFEC,50,4,0.79078,0.79078,0.60975,2.894,10.162,0.2560
urban,QDAP-noFEC,50,5,0.56829,0.56829,0.60016,3.039,10.054,0.2240
urban,QDAP-noFEC,50,6,0.67704,0.67704,0.61224,2.802,10.140,0.2453
urban,QDAP-noFEC,50,7,0.72464,0.72464,0.58734,2.730,10.476,0.2507
urban,QDAP-noFEC,50,8,0.84565,0.84565,0.67369,2.759,10.270,0.2507
urban,QDAP-noFEC,50,9,0.82558,0.82558,0.56372,3.072,9.642,0.2347
urban,QDAP-noFEC,50,10,0.54186,0.54186,0.59055,2.516,10.172,0.2347
urban,QDAP-noFEC,50,11,0.82500,0.82500,0.62791,2.884,10.209,0.2400
urban,QDAP-noFEC,50,12,0.56370,0.56370,0.63304,2.779,10.194,0.2453
urban,QDAP-noFEC,50,13,0.67727,0.67727,0.64302,2.555,10.170,0.2400
urban,QDAP-noFEC,50,14,0.83191,0.83191,0.63453,2.675,10.393,0.2560
urban,QDAP-noFEC,50,15,0.79070,0.79070,0.60912,2.920,9.957,0.2347
urban,QDAP-noFEC,50,16,0.56087,0.56087,0.59469,2.562,9.986,0.2507
urban,QDAP-noFEC,50,17,0.68992,0.68992,0.55622,3.009,9.531,0.2347
urban,QDAP-noFEC,50,18,0.76970,0.76970,0.58832,2.791,9.951,0.2400
urban,QDAP-noFEC,50,19,0.64928,0.64928,0.55450,2.924,9.969,0.2507
urban,QDAP-noSched,50,0,0.77778,0.77778,0.58565,10.226,9.511,0.2293
urban,QDAP-noSched,50,1,0.69015,0.69015,0.66115,8.872,9.620,0.2400
urban,QDAP-noSched,50,2,0.66970,0.66970,0.64853,10.202,9.544,0.2400
urban,QDAP-noSched,50,3,0.44472,0.44472,0.55924,8.265,9.587,0.2240
urban,QDAP-noSched,50,4,0.83262,0.83262,0.63211,9.798,9.573,0.2560
urban,QDAP-noSched,50,5,0.63659,0.63659,0.62321,9.377,9.525,0.2240
urban,QDAP-noSched,50,6,0.75185,0.75185,0.63487,9.485,9.528,0.2453
urban,QDAP-noSched,50,7,0.79275,0.79275,0.60956,9.926,9.629,0.2507
urban,QDAP-noSched,50,8,0.88623,0.88623,0.69295,9.922,9.550,0.2507
urban,QDAP-noSched,50,9,0.84419,0.84419,0.58538,9.555,9.603,0.2347
urban,QDAP-noSched,50,10,0.63256,0.63256,0.61098,9.623,9.547,0.2347
urban,QDAP-noSched,50,11,0.88182,0.88182,0.65007,9.638,9.582,0.2400
urban,QDAP-noSched,50,12,0.63259,0.63259,0.65465,10.057,9.561,0.2453
urban,QDAP-noSched,50,13,0.75455,0.75455,0.66478,9.983,9.599,0.2400
urban,QDAP-noSched,50,14,0.87943,0.87943,0.65491,10.011,9.584,0.2560
urban,QDAP-noSched,50,15,0.84961,0.84961,0.63122,9.701,9.519,0.2347
urban,QDAP-noSched,50,16,0.62826,0.62826,0.61585,8.965,9.603,0.2507
urban,QDAP-noSched,50,17,0.78527,0.78527,0.57588,9.653,9.592,0.2347
urban,QDAP-noSched,50,18,0.81136,0.81136,0.60992,10.146,9.627,0.2400
urban,QDAP-noSched,50,19,0.71087,0.71087,0.57792,9.944,9.585,0.2507
urban,QDAP-noDelta,50,0,0.77778,0.77778,0.58565,3.227,7.539,0.2293
urban,QDAP-noDelta,50,1,0.69015,0.69015,0.66115,2.650,6.974,0.2400
urban,QDAP-noDelta,50,2,0.66970,0.66970,0.64853,3.207,7.361,0.2400
urban,QDAP-noDelta,50,3,0.44472,0.44472,0.55924,2.526,7.260,0.2240
urban,QDAP-noDelta,50,4,0.83262,0.83262,0.63211,2.853,7.633,0.2560
urban,QDAP-noDelta,50,5,0.63659,0.63659,0.62321,2.757,7.315,0.2240
urban,QDAP-noDelta,50,6,0.75185,0.75185,0.63487,2.853,7.573,0.2453
urban,QDAP-noDelta,50,7,0.79275,0.79275,0.60956,2.986,6.562,0.2507
urban,QDAP-noDelta,50,8,0.88623,0.88623,0.69295,2.830,7.100,0.2507
urban,QDAP-noDelta,50,9,0.84419,0.84419,0.58538,2.930,8.448,0.2347
urban,QDAP-noDelta,50,10,0.63256,0.63256,0.61098,2.818,7.281,0.2347
urban,QDAP-noDelta,50,11,0.88182,0.88182,0.65007,2.936,7.251,0.2400
urban,QDAP-noDelta,50,12,0.63259,0.63259,0.65465,2.923,7.218,0.2453
urban,QDAP-noDelta,50,13,0.75455,0.75455,0.66478,2.808,7.393,0.2400
urban,QDAP-noDelta,50,14,0.87943,0.87943,0.65491,2.947,6.893,0.2560
urban,QDAP-noDelta,50,15,0.84961,0.84961,0.63122,2.847,7.502,0.2347
urban,QDAP-noDelta,50,16,0.62826,0.62826,0.61585,2.673,7.872,0.2507
urban,QDAP-noDelta,50,17,0.78527,0.78527,0.57588,2.779,8.697,0.2347
urban,QDAP-noDelta,50,18,0.81136,0.81136,0.60992,2.878,7.873,0.2400
urban,QDAP-noDelta,50,19,0.71087,0.71087,0.57792,2.966,8.024,0.2507
urban,QDAP-noGhost,50,0,0.80000,0.79921,0.58572,23.327,25.113,0.2293
urban,QDAP-noGhost,50,1,0.68030,0.67879,0.66058,21.508,25.676,0.2400
urban,QDAP-noGhost,50,2,0.67348,0.67348,0.64971,18.683,25.745,0.2400
urban,QDAP-noGhost,50,3,0.45528,0.45447,0.55922,13.927,25.942,0.2240
urban,QDAP-noGhost,50,4,0.83901,0.83901,0.63274,21.905,26.118,0.2560
urban,QDAP-noGhost,50,5,0.64390,0.64309,0.62240,29.725,25.809,0.2240
urban,QDAP-noGhost,50,6,0.75185,0.75037,0.63524,24.039,25.966,0.2453
urban,QDAP-noGhost,50,7,0.79348,0.79203,0.61029,24.312,25.979,0.2507
urban,QDAP-noGhost,50,8,0.89348,0.89130,0.69215,28.481,25.485,0.2507
urban,QDAP-noGhost,50,9,0.84031,0.83876,0.58420,29.265,26.035,0.2347
urban,QDAP-noGhost,50,10,0.62171,0.62171,0.61107,23.352,25.944,0.2347
urban,QDAP-noGhost,50,11,0.87121,0.87045,0.64880,30.620,25.319,0.2400
urban,QDAP-noGhost,50,12,0.66519,0.66296,0.65347,26.233,26.276,0.2453
urban,QDAP-noGhost,50,13,0.73106,0.72955,0.66400,23.155,26.058,0.2400
urban,QDAP-noGhost,50,14,0.89291,0.89078,0.65466,23.087,25.601,0.2560
urban,QDAP-noGhost,50,15,0.84574,0.84341,0.63126,16.711,25.606,0.2347
